0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
246.0,246.0,246.0,246.0,246.048125,246.004375,246.08625,246.0425,246.07,246.01375,246.10625,246.0625,246.81125,246.24625,246.7325,246.16
237.0,237.0,237.0,237.0,237.048125,237.006875,237.086875,237.0425,237.113125,237.099375,237.10625,237.0675,239.404375,237.24875,237.7325,237.16
229.0,229.0,229.0,229.0,229.04458333333332,229.01055555555556,229.08034722222223,229.04680555555555,229.20458333333335,229.16479166666667,229.09625,229.06152777777777,233.82902777777778,229.25930555555556,229.65597222222223,229.15569444444444
220.0,220.0,220.0,220.0,220.04993055555556,220.0170138888889,220.09222222222223,220.05152777777778,220.29145833333334,220.2109722222222,220.10805555555555,220.06840277777778,228.46555555555557,220.44020833333335,220.73909722222223,220.173125
211.0,211.0,211.0,211.0,211.10493055555557,211.01840277777777,211.10756944444444,211.05152777777778,211.4152777777778,211.29847222222222,211.10805555555555,211.06868055555555,224.11548611111112,211.74805555555557,211.73909722222223,211.173125
203.0,203.0,203.0,203.0,203.1302777777778,203.01763888888888,203.14555555555555,203.07541666666665,203.5575,203.39909722222222,203.1351388888889,203.18041666666667,221.58875,204.92909722222223,204.67680555555555,203.4176388888889
194.0,194.0,194.0,194.0,194.17729166666666,194.018125,194.18,194.08388888888888,194.64805555555554,194.59104166666665,194.16333333333333,194.201875,218.77208333333334,197.46756944444445,196.27277777777778,194.4595138888889
185.0,185.0,185.0,185.0,185.17854166666666,185.01840277777777,185.190625,185.08388888888888,185.80104166666666,185.65159722222222,185.16333333333333,185.20215277777777,216.73993055555556,189.44555555555556,187.27277777777778,185.4595138888889
177.0,177.0,177.0,177.0,177.20277777777778,177.05013888888888,177.31402777777777,177.07958333333335,177.97208333333333,177.8332638888889,177.15180555555557,177.20263888888888,215.05930555555557,182.529375,179.18916666666667,177.4423611111111
168.0,168.0,168.0,168.0,168.22006944444445,168.050625,168.34493055555555,168.08388888888888,169.21319444444444,168.92284722222223,168.16333333333333,168.20909722222223,214.32104166666667,175.24527777777777,170.27881944444445,168.4595138888889
159.0,159.0,159.0,159.0,159.22118055555555,159.05090277777776,159.36645833333333,159.08388888888888,160.32076388888888,160.1525,159.16333333333333,159.229375,213.51277777777779,167.9117361111111,161.27881944444445,159.4595138888889
151.0,151.0,151.0,151.0,151.21416666666667,151.05013888888888,151.42111111111112,151.08680555555554,152.44458333333333,152.28569444444443,151.15180555555557,151.22965277777777,212.9767361111111,161.78875,153.1951388888889,151.4423611111111
142.0,142.0,142.0,142.0,142.22791666666666,142.050625,142.45805555555555,142.0911111111111,143.66229166666668,143.45854166666666,142.16333333333333,142.29104166666667,212.85847222222222,154.9126388888889,144.27881944444445,142.531875
133.0,133.0,133.0,133.0,133.2290277777778,133.05090277777776,133.4857638888889,133.0911111111111,134.86875,134.52798611111112,133.16333333333333,133.2915277777778,212.0848611111111,148.1226388888889,135.27881944444445,133.531875
125.0,125.0,125.0,125.0,125.32451388888889,125.06819444444444,125.5129861111111,125.13986111111112,127.22111111111111,126.64569444444444,125.15180555555555,125.293125,213.14208333333335,142.92944444444444,127.34694444444445,125.51430555555555
116.0,116.0,116.0,116.0,116.33979166666667,116.06868055555556,116.553125,116.14402777777778,118.35020833333333,117.98472222222222,116.16333333333333,116.30006944444445,212.50680555555556,137.73118055555557,118.42951388888889,116.531875
108.0,108.0,108.0,108.0,108.33222222222223,108.06756944444444,108.56215277777778,108.14868055555556,110.52944444444445,110.14527777777778,108.1511111111111,108.290625,211.96243055555556,132.6651388888889,110.33965277777777,108.509375
99.0,99.0,99.0,99.0,99.3495138888889,99.06854166666666,99.60763888888889,99.15409722222222,101.8525,101.26013888888889,99.16284722222223,99.29923611111111,212.46069444444444,127.05979166666667,101.41881944444444,99.53020833333333
90.0,90.0,90.0,90.0,90.40368055555555,90.11465277777778,90.844375,90.15423611111112,93.00881944444444,92.47784722222222,90.17479166666666,90.30034722222223,211.24180555555554,121.48083333333334,92.43548611111112,90.531875
82.0,82.0,82.0,82.0,82.39590277777778,82.11319444444445,82.85520833333334,82.14902777777777,86.505625,84.63465277777777,82.16256944444444,82.29069444444444,209.95652777777778,116.995,84.33972222222222,82.50958333333334
73.0,73.0,73.0,73.0,73.91743055555555,73.39590277777778,74.77166666666666,73.21305555555556,79.59069444444444,75.89138888888888,73.186875,73.47618055555556,208.168125,111.7082638888889,75.41888888888889,73.53020833333333
64.0,64.0,64.0,64.0,64.93729166666667,64.39833333333333,65.83041666666666,64.21319444444444,73.33118055555556,67.03340277777778,64.18743055555555,64.47729166666667,204.59340277777778,106.98958333333333,66.44513888888889,64.700625
56.0,56.0,56.0,56.0,56.99125,56.395208333333336,57.848333333333336,56.20826388888889,68.51993055555556,59.316875,56.219652777777775,56.46881944444444,201.40875,102.7226388888889,58.36097222222222,56.68236111111111
47.0,47.0,47.0,47.0,48.08625,47.39756944444444,48.91979166666667,47.22763888888889,62.70513888888889,50.69423611111111,47.245694444444446,47.51618055555556,198.40972222222223,100.35145833333333,49.45944444444444,47.72784722222222
38.0,38.0,38.0,38.0,39.45451388888889,38.45805555555555,40.113680555555554,38.24270833333333,57.21659722222222,42.35916666666667,38.245694444444446,38.51701388888889,197.86583333333334,95.69208333333333,40.459583333333335,38.72951388888889
30.0,30.0,30.0,30.0,31.48875,30.45513888888889,32.3025,30.25326388888889,51.79541666666667,35.29347222222222,30.283958333333334,30.52173611111111,196.41118055555555,91.98777777777778,32.81840277777778,30.711111111111112
21.0,21.0,21.0,21.0,22.513125,21.485208333333333,23.351944444444445,21.299791666666668,45.81381944444445,27.40875,21.41409722222222,21.545625,195.85041666666666,87.46194444444444,24.127847222222222,21.870069444444443
12.0,12.0,12.0,12.0,13.59625,12.486319444444444,14.355069444444444,12.316736111111112,39.715555555555554,19.627916666666668,12.447847222222222,12.580416666666666,195.18715277777778,83.04965277777778,15.161597222222222,12.871458333333333
4.0,4.0,4.0,4.0,5.606597222222222,4.483263888888889,6.341111111111111,4.3469444444444445,35.36284722222222,13.172291666666666,4.456111111111111,4.962430555555556,195.57243055555554,84.81097222222222,7.078888888888889,4.922083333333333
