Jumlah Tepi Piksel
25217
25681
25769
25914
25778
25704
25734
25666
25820
25806
26001
26085
26060
26072
26279
26248
26237
26298
26342
26400
26338
26281
26434
26414
26593
26664
26848
26765
26734
26948
26852
26913
26932
27005
27136
26839
26945
26940
26951
27113
26845
26827
26810
26706
26568
26575
26509
26444
26278
26276
25910
26048
25797
25974
25725
25746
25585
24860
25069
24324
24275
24266
23858
23933
23758
23545
23547
23537
23410
23186
22927
22820
22687
22617
22518
22521
22545
22619
22483
22647
22872
22826
22640
22877
22622
22736
22740
22672
22472
22467
22644
22733
22668
22588
22530
22696
22727
22425
22438
22426
22389
22267
22271
22190
22074
22135
22010
21955
21933
21899
21864
21845
21783
21590
21607
21600
21371
21311
21301
20948
20872
21016
21028
20912
20860
20727
20673
20727
20587
20437
20476
20397
20486
20357
20200
20209
20162
20110
20009
19988
19890
19836
19731
19748
19952
19811
19798
19613
19468
19430
19430
19418
19532
19409
19449
19592
19245
19098
19341
19068
19127
19081
19137
19095
19024
19151
19092
19001
18933
18850
18842
18817
18801
18612
18612
18762
18779
18660
18699
18643
18624
18682
18592
18560
18640
18614
18586
18544
18678
18712
18457
18510
18584
18618
18664
18695
18696
18754
18831
18740
18782
18733
18796
18808
18699
18717
18821
18739
18918
18772
18755
18601
18615
18769
18541
18470
18488
18750
18709
18601
18706
18606
18706
18561
18595
18686
18671
18688
18771
18675
18783
18924
18768
18835
18927
18846
18803
18831
18918
18997
18828
19111
19153
19273
19219
19385
19447
19463
19331
19376
19592
19626
19493
19628
19522
19647
19540
19883
19909
19932
19818
19874
20117
19859
19913
19862
19860
19693
19825
19748
19485
19784
19663
19667
19530
19428
19391
19465
19244
19281
19443
19361
19284
19447
19456
19155
19261
19214
19241
19051
19062
18970
18934
19077
19160
19123
18887
18873
19053
19086
18727
18670
18680
18598
18677
18462
18555
18479
18618
18658
18813
18680
18665
18666
18644
18635
18801
18789
18737
18823
18805
18655
18604
18721
18566
18584
18692
18323
18225
18181
18249
18379
18251
18252
18392
18343
18433
18344
18406
18533
18366
18417
18411
18411
18418
18344
18394
18383
18538
18603
18479
18343
18364
18313
18239
18201
18167
18275
18234
18040
18258
18589
18348
18508
18567
18515
18641
18661
18602
18638
18655
18611
18767
18896
18662
18596
18892
18933
18981
19025
19167
19210
19376
19343
19351
19431
19538
19550
19405
19354
19438
19657
19460
19596
19703
19626
19655
19529
19550
19681
19687
19695
19670
19673
19685
19768
19834
19695
19650
19695
19642
19595
19506
19525
19577
19379
19269
19321
19142
19062
19073
18946
18909
18805
