Mean,Std,Sum
3.0845518663194444,7.380632593730568,2842723.0
5.000584201388889,10.148553986130397,4608538.399999999
5.340730685763888,10.958009526463762,4922017.399999999
5.743102430555556,11.817472046334482,5292843.2
6.013255642361112,12.645033952621302,5541816.4
6.360081380208333,13.567319376778237,5861451.0
6.962350477430558,14.6508468957161,6416502.200000002
7.460550347222224,15.496886438824168,6875643.200000001
7.7385735677083325,16.239990999159787,7131869.399999999
8.034822265625,16.88500020168369,7404892.199999999
8.247648871527778,17.435549417534627,7601033.2
8.433658637152774,17.90817035089378,7772459.799999997
8.626932508680554,18.37727144962981,7950580.999999999
8.89150065104167,18.82586001661634,8194407.000000002
9.053770182291668,19.23692294704694,8343954.600000001
9.292821831597221,19.648526404800645,8564264.6
9.462337673611112,20.009562576008467,8720490.4
9.613150607638893,20.361250208364652,8859479.600000003
9.74756032986111,20.68203277021093,8983351.6
9.905215711805555,20.959311374656906,9128646.799999999
10.022085286458331,21.24892557844715,9236353.799999999
10.308718098958327,21.51928035986696,9500514.599999994
10.440311414930557,21.782114027942384,9621791.000000002
10.570423177083331,22.024190100975495,9741701.999999998
10.764058376736108,22.25573542838783,9920156.199999997
10.875705078125002,22.49522776627902,10023049.8
11.069014973958337,22.675150805675038,10201204.200000003
11.214766059027776,22.904037499672786,10335528.399999999
11.333113932291665,23.100017738662356,10444597.799999999
11.52597743055555,23.34514611509011,10622340.799999995
11.784836805555557,23.594632754444753,10860905.600000001
11.869527777777776,23.79464551555735,10938956.799999999
11.97519835069444,23.975271698576268,11036342.799999995
12.091895399305558,24.159913317013086,11143890.800000003
12.272569227430557,24.3750568906161,11310399.8
12.773251953124998,24.41917356553217,11771828.999999998
12.827617838541663,24.602763620166442,11821932.599999996
12.941642144097221,24.814687916996775,11927017.399999999
12.96501215277777,24.99618148233382,11948555.199999994
12.989139539930555,25.166535146801557,11970791.0
13.032196614583334,25.328597655838387,12010472.4
13.070405598958327,25.47648084858603,12045685.799999995
12.954721788194442,25.43339194861761,11939071.599999998
13.173548611111105,25.6027157080281,12140742.399999995
13.42411046006944,25.873307866636534,12371660.199999996
13.306218315972217,25.8309035761762,12263010.799999995
13.366261935763882,25.965403358997744,12318346.999999994
13.460233723958325,26.09556978313529,12404951.399999993
13.515629340277775,26.204672024890044,12456003.999999996
13.6211130642361,26.29496793578053,12553217.79999999
13.690071180555547,26.396178171816192,12616769.599999992
13.781818576388881,26.485445388728255,12701323.999999993
13.849527126736103,26.570260055485846,12763724.199999992
13.962808159722215,26.658922373461348,12868123.999999993
14.027022135416656,26.72946508365559,12927303.59999999
14.201748697916656,26.80922673100209,13088331.59999999
14.267210286458328,26.864400408281785,13148660.999999994
14.402072482638873,26.89824373803847,13272949.999999985
14.475250434027771,26.977903488008263,13340390.799999993
15.144462239583321,26.83546107185624,13957136.39999999
